ano_materia,autoria_texto,casa,id_principal,id_documento,data_texto,descricao_identificacao_materia,descricao_objetivo_processo,descricao_subtipo_materia,descricao_texto,descricao_tipo_texto,formato_texto,identificacao_comissao_codigo_comissao,identificacao_comissao_nome_casa_comissao,identificacao_comissao_nome_comissao,identificacao_comissao_sigla_casa_comissao,identificacao_comissao_sigla_comissao,indicador_tramitando,nome_casa_identificacao_materia,numero_emenda,numero_materia,sigla_casa_identificacao_materia,sigla_subtipo_materia,tipo_documento,url_texto
2019,Senador Telmário Mota (PROS/RR),senado,135175,8027326,2019-10-16,PDL 28/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,P.S 239/2019 - PLEN,Parecer,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Não,Senado Federal,NA,00028,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8027326
2019,Primeiro-Secretário do Senado Federal,senado,135175,8027467,2019-11-07,PDL 28/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,OFSF 892/2019,Ofício,application/pdf,2015,Senado Federal,Comissão Diretora do Senado Federal,SF,CDIR,Não,Senado Federal,NA,00028,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8027467
2019,Senado Federal,senado,135175,8036629,2019-11-07,PDL 28/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Autógrafo - PDL 28/2019,Projeto de Decreto Legislativo,application/pdf,NA,NA,NA,NA,NA,Não,Senado Federal,NA,00028,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8036629
2020,Senador Zequinha Marinho (PSC/PA),senado,141227,8075803,2020-03-18,PDL 107/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 107/2020,Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00107,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8075803
2020,Senado Federal,senado,141227,8078642,2020-03-27,PDL 107/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00107,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8078642
2020,Senador Luis Carlos Heinze (PP/RS),senado,143287,8861837,2020-07-07,PDL 321/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 321/2020,Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Não,Senado Federal,NA,00321,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8861837
2020,Senado Federal,senado,143287,8862083,2020-07-08,PDL 321/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Não,Senado Federal,NA,00321,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8862083
2020,Senador Luis Carlos Heinze (PP/RS),senado,143287,8869727,2020-07-30,PDL 321/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,RQS 1548/2020,Requerimento,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Não,Senado Federal,NA,00321,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8869727
2020,Senado Federal,senado,143275,8861956,2020-07-07,PDL 318/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Não,Senado Federal,NA,00318,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8861956
2020,Senador Luis Carlos Heinze (PP/RS),senado,143275,8861813,2020-07-07,PDL 318/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 318/2020,Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Não,Senado Federal,NA,00318,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8861813
2020,Senador Luis Carlos Heinze (PP/RS),senado,143275,8862680,2020-07-08,PDL 318/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,RQS 1334/2020,Requerimento,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Não,Senado Federal,NA,00318,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8862680
2020,Senado Federal,senado,144851,8892396,2020-09-22,PDL 404/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00404,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8892396
2020,Senador Luis Carlos Heinze (PP/RS),senado,144851,8892243,2020-09-22,PDL 404/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 404/2020,Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00404,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8892243
